area,crawl_time,decoration,elevator,flood,follow_number,house_id,location,look_number,orientation,pub_duration,room,title,total_price,total_unit,unit_price,xiaoqu
108.53,2019-06-26 12:48:49,简装,有电梯,高楼层(共11层)2009年建板楼,120,53acf43feb32397c644a487adecdd31e,唐镇,20,南 北,10个月以前,3室2厅,满五年 南北通透，安静位置，临 近景观大道，有车位,582,万,53626,保利金爵公寓 
107.85,2019-06-26 12:48:49,精装,有电梯,低楼层(共25层)2002年建板楼,56,e85dd287bc291e999159195bdd088b97,联洋,18,南,一年前,2室2厅,精装两房南北直通带花园有阳光房实用面积大 入住舒适,1100,万,101994,御景园 
71.7,2019-06-26 12:48:49,简装,无电梯,中楼层(共6层)2005年建板楼,101,8e07feb926a12d1a87465d9beed25afb,江桥,51,南,1个月以前,2室2厅,富友嘉园，满五唯一税少，诚心出售看房方便,268,万,37378,富友嘉园 
89.55,2019-06-26 12:48:49,精装,有电梯,中楼层(共11层)2012年建板楼,52,28917027b4b5d0978a0622c37c1d4713,菊园新区,26,南 北,20天以前,3室2厅,嘉定西、万科品质、满五唯一、临河视野好、看房方便,290,万,32385,万科金色领域 
121.97,2019-06-26 12:48:49,精装,有电梯,高楼层(共11层)2001年建板楼,41,9f50641e0afcf1262f7cd699170908a7,源深,20,南,16天以前,3室2厅,内环电梯房！满五唯一！南北3房，总价低！ 随时看！,889,万,72887,东珂花苑 
53.04,2019-06-26 12:48:49,简装,无电梯,中楼层(共5层)1989年建板楼,81,1952497225ec78f81998c7dc39660c21,老闵行,8,南,10个月以前,2室1厅,精装修一梯两户+主卧客厅朝南+白银楼层+满五唯一,162,万,30543,凤庆小区 
47.71,2019-06-26 12:48:49,简装,无电梯,中楼层(共5层)1987年建板楼,53,f6367cb7ac219c64940340afeb4da11b,甘泉宜川,28,南,3个月以前,2室0厅,双南两室户  采光好 视野开阔 看房方便 诚心出售,245,万,51352,新村路285弄 
54.82,2019-06-26 12:48:49,精装,无电梯,低楼层(共6层)1994年建板楼,74,839b912f0b5d04280782ad58f83b595e,花木,46,南 北,3个月以前,2室1厅,一梯一户 精装两房，楼层好，采光好,410,万,74791,牡丹小区(浦东) 
71.48,2019-06-26 12:48:49,简装,无电梯,高楼层(共6层)1994年建板楼,29,842abb6772a324ce094750a31b75bba2,西渡,21,南,2个月以前,3室1厅,鸿宝一村南区经典小两房 业主诚意出售 楼层好 位置佳,166,万,23224,鸿宝一村(南区) 
53.84,2019-06-26 12:48:49,简装,无电梯,中楼层(共6层)1988年建板楼,74,d636b803ff27bec4eb8c4cb4c3711c75,川沙,8,南,1个月以前,2室1厅,满二年采光好 带车位 配套齐全不临街 视野好 看房方便,198,万,36776,城西小区 
